1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Unique Record Identifier,Original ID,Member Of,Resource Title,Resource Title alt,Digital File,External Link_Website Name,External Link_Website URL,Resource Description pri,Resource Description alt,Primary Language,Other Language,Resource Type,Keywords ,Notes,Place,Place Type,Coordinates,Alternative Place Name,Cultural Group,Cultural Context,Social Group Setting,Production Technique,Equipment used ,Date of creation ,Date of digitization,Date of publication,Rights Ownership ,Rights,TK Labels,BC Labels,Cultural Sensitivity,Access restriction,Reasons for restriction,Creator ,Contributors ,Contributor Type,Time Period,Genre,Object,Slogan,Pandemic Event,Setting,Emotion,Way of Living
IF-RES-00180001,,Archiving COVID-19 Heritage in Ho Chi Minh City,Essential items at the food store,Nhu nhẩm thiết yếu ở cửa hàng thức ăn,IF-RES-00180001.jpg,,,"Display of hand sanitizer along with lemon, chili, and spices on the dining table.","Trưng bày gel rửa tay cùng với chanh, ớt, và gia vị trên bàn ăn.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,,,
IF-RES-00180002,,Archiving COVID-19 Heritage in Ho Chi Minh City,Keep distance using a rope barrier,Giữ khoảng cách bằng dây bẹ,IF-RES-00180002.jpg,,,Rope barriers separating space at a convenience store.,Dây bẹ phân cách không gian tại cửa hàng tiện lợi.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo,Phát Minh,,,Đường Phố;Nơi Công Cộng,,
IF-RES-00180003,,Archiving COVID-19 Heritage in Ho Chi Minh City,Quarantine area in district 4,Khu cách ly tại quận 4,IF-RES-00180003.jpg,,,The former KizCiti vocational training playground has been converted into a quarantine area for District 4.,Nơi trước đây là khu vui chơi thiếu nhi Thành Phố Hướng Nghiệp KizCiti được chuyển công năng thành khu cách ly cho Quận 4.,Vietnamese,,Photography,,Quận 4,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Chụp Điện Thoại,,Việt Nam Chiến Thắng Đại Dịch,Phong Tỏa;TestCovid,Khu Cách Ly Tập Trung,Lo Lắng;Chán Nản,Tình Nguyện;Cách Ly
IF-RES-00180004,,Archiving COVID-19 Heritage in Ho Chi Minh City,COVID posters (2K),COVID posters (2K),IF-RES-00180004.jpg,,,Posters with information to combat the epidemic in new circumstances.,Posters với thông tin để chống dịch trong tình hình mới.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại;Quảng Cáo;Thông Báo,Đồ Bảo Hộ,5k;Việt Nam Chiến Thắng Đại Dịch;Bình Thường Mới,,Đường Phố,,Giúp Đỡ Cộng Đồng
IF-RES-00180005,,Archiving COVID-19 Heritage in Ho Chi Minh City,Western medicine store,Cửa hàng thuốc tây,IF-RES-00180005.jpg,,,Using separation ropes at the pharmacy.,Sử dụng dây ngăn cách ở cửa hàng thuốc.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo,,,,,,
IF-RES-00180006,,Archiving COVID-19 Heritage in Ho Chi Minh City,Notice at the escalator,Thông báo tại thang cuốn,IF-RES-00180006.jpg,,,"Notice that the escalator has been sterilized. The escalator is in Saigon Center, a busy shopping mall.","Thông báo cho biết thang cuốn đã được khử trùng. Thang cuốn ở trong Saigon Center, một trung tâm mua sắm bận rộn. ",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Chụp Điện Thoại,Đồ Bảo Hộ;Phát Minh,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Nơi Công Cộng,,Giúp Đỡ Cộng Đồng
IF-RES-00180007,,Archiving COVID-19 Heritage in Ho Chi Minh City,Watercolor paintings of Saigon during the epidemic,Tranh màu nước Sài Gòn mùa dịch,IF-RES-00180007.jpg,,,"Painting by Nguyen Tang Quang. As a reliable source of information, the sign not only spreads the message about how to protect oneself and the community, but the drawings and words also convey encouragement and motivation to overcome difficult times together.","Tranh của bạn Nguyễn Tăng Quang. Như một nguồn cung cấp thông tin đáng tin cậy, biển báo không chỉ lan truyền thông điệp về cách bảo vệ bản thân cùng cộng đồng, mà những hình vẽ, câu chữ còn truyền tải sự động viên, khích lệ để cùng nhau vượt qua thời kỳ gian khó.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Hội Hoạ,,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch,,Đường Phố,,Giúp Đỡ Cộng Đồng
IF-RES-00180008,,Archiving COVID-19 Heritage in Ho Chi Minh City,Trash can,Thùng rát,IF-RES-00180008.jpg,,,Contaminated waste bin at the Binh Chanh District field hospital.,Thùng rát chất lây  ở bệnh viện dã chiến Huyện Bình Chánh,Vietnamese,,Photography,,"Đường Nguyễn Văn Linh, Huyện Bình Chánh",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Nhiếp Ảnh,Dụng Cụ Y Tế;Đồ Bảo Hộ,Bình Thường Mới,,,,
IF-RES-00180009,,Archiving COVID-19 Heritage in Ho Chi Minh City,"Three-wheeled vehicle with the message ""everyone fights the epidemic""","Xe ba gác với lời nhắn ""toàn dân phòng chống dịch""",IF-RES-00180009.jpg,,,"Three-wheeled vehicle with the message ""everyone fights the epidemic"" on one side. The owner of the vehicle wrote this message themselves.","Xe ba gác với lời nhắn ""toàn dân phòng chống dịch"" ở một bên của xe. Chủ nhân của chiếc xe đã tự tay viết lời nhắn này.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Chụp Điện Thoại;Thông Báo,Phương Tiện Giao Thông,Việt Nam Chiến Thắng Đại Dịch,,Đường Phố,Hy Vọng,
